 ,ticker,security,industry,subindustry,HQ City,HQ State,HQ Country,added,founded, marketCap 
,^GSPC,S&P500,Multisector,Index,,,,,,
,^TNX,10 Year Treasury,,,,,,,,
11,A,Agilent Technologies Inc,Health Care,Health Care Equipment,Santa Clara, California,USA,6/5/2000,1999," $29,275,146,240.00 "
28,AAL,American Airlines Group,Industrials,Airlines,Fort Worth, Texas,USA,3/23/2015,1934," $5,787,373,056.00 "
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Raleigh, North Carolina,USA,7/9/2015,1932," $10,176,534,528.00 "
46,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Cupertino, California,USA,11/30/1982,1977," $1,605,700,000,000.00 "
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,North Chicago, Illinois,USA,12/31/2012,2013 (1888)," $171,142,000,000.00 "
35,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania,USA,8/30/2001,1985," $21,105,096,704.00 "
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,Danvers, Massachusetts,USA,5/31/2018,1981," $13,195,218,944.00 "
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago, Illinois,USA,3/31/1964,1888," $175,028,000,000.00 "
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,Dublin,,Ireland,7/6/2011,1989," $141,079,000,000.00 "
6,ADBE,Adobe Inc.,Information Technology,Application Software,San Jose, California,USA,5/5/1997,1982," $206,405,000,000.00 "
39,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,Norwood, Massachusetts,USA,10/12/1999,1965," $41,400,328,192.00 "
49,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,Chicago, Illinois,USA,7/29/1981,1902," $23,380,826,112.00 "
56,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,Roseland, New Jersey,USA,3/31/1981,1949," $62,502,031,360.00 "
,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,Plano, Texas,USA,12/23/2013,1996," $2,115,159,424.00 "
55,ADSK,Autodesk Inc.,Information Technology,Application Software,San Rafael, California,USA,12/1/1989,1982," $51,046,596,608.00 "
27,AEE,Ameren Corp,Utilities,Multi-Utilities,St. Louis, Missouri,USA,9/19/1991,1902," $19,632,773,120.00 "
29,AEP,American Electric Power,Utilities,Electric Utilities,Columbus, Ohio,USA,3/4/1957,1906," $43,636,084,736.00 "
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,USA,10/2/1998,1981," $10,239,567,872.00 "
10,AFL,AFLAC Inc,Financials,Life & Health Insurance,Columbus, Georgia,USA,5/28/1999,1955," $26,382,768,128.00 "
31,AIG,American International Group,Financials,Property & Casualty Insurance,New York, New York,USA,3/31/1980,1919," $26,967,021,568.00 "
45,AIV,Apartment Investment & Management,Real Estate,Residential REITs,Denver, Colorado,USA,3/14/2003,1994 (1975)," $5,307,001,856.00 "
52,AIZ,Assurant,Financials,Multi-line Insurance,New York, New York,USA,4/10/2007,1892," $6,370,269,184.00 "
51,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Itasca, Illinois,USA,5/31/2016,1927," $19,707,310,080.00 "
13,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,Cambridge, Massachusetts,USA,7/12/2007,1998," $18,132,496,384.00 "
15,ALB,Albemarle Corp,Materials,Specialty Chemicals,Charlotte, North Carolina,USA,7/1/2016,1994," $9,254,005,760.00 "
18,ALGN,Align Technology,Health Care,Health Care Supplies,San Jose, California,USA,6/19/2017,1997," $23,482,402,816.00 "
14,ALK,Alaska Air Group Inc,Industrials,Airlines,Seattle, Washington,USA,5/13/2016,1985," $4,297,830,400.00 "
21,ALL,Allstate Corp,Financials,Property & Casualty Insurance,Northfield Township, Illinois,USA,7/13/1995,1931," $29,639,985,152.00 "
